urn,name,cts_namespace,cts_id_prefix,cts_id,viaf_id,lccn,wikidata_id,wikipedia_url_en,wikipedia_url_es,wikipedia_url_de,wikipedia_url_it,wikipedia_url_fr
urn:cts:greekLit:tlg0555,"HucitAuthor (names=[Clément (@fr),Clemens Von Alexandria (@de),Clement Of Alexandria (@en),Clemens (@None),Clemente De Alejandría (@es),Clemens Titus Flavius (@la),Clemens Alexandrinus (@la),Clemente (@None),Clemente Di Alessandria (@it),Clément D'Alexandrie (@fr),Klemens (@None)],urn=urn:cts:greekLit:tlg0555)",greekLit,tlg,0555,100185827,None,Q188883,https://en.wikipedia.org/wiki/Clement_of_Alexandria,https://es.wikipedia.org/wiki/Clemente_de_Alejandría,https://de.wikipedia.org/wiki/Clemens_von_Alexandria,https://it.wikipedia.org/wiki/Clemente_Alessandrino,https://fr.wikipedia.org/wiki/Clément_d'Alexandrie
urn:cts:greekLit:tlg0647,"HucitAuthor (names=[Triphiodorus (@la)],urn=urn:cts:greekLit:tlg0647)",greekLit,tlg,0647,87464456,None,Q1371938,https://en.wikipedia.org/wiki/Tryphiodorus,https://es.wikipedia.org/wiki/Trifiodoro,https://de.wikipedia.org/wiki/Triphiodoros,https://it.wikipedia.org/wiki/Trifiodoro,https://fr.wikipedia.org/wiki/Tryphiodore
urn:cts:greekLit:tlg0653,"HucitAuthor (names=[Aratus Soleus (@la),Aratos (@de),Aratos Von Soloi (@de),Arato (@it),Aratus Solensis (@la),Aratus (@la),Árato De Soles (@es),Aratus Of Soloi (@en)],urn=urn:cts:greekLit:tlg0653)",greekLit,tlg,0653,100908520,None,None,None,None,None,None,None
urn:cts:latinLit:phi0926,Unknown,latinLit,phi,0926,22137113,None,Q352684,https://en.wikipedia.org/wiki/Marcus_Manilius,https://es.wikipedia.org/wiki/Manilio,https://de.wikipedia.org/wiki/Marcus_Manilius,https://it.wikipedia.org/wiki/Marco_Manilio,https://fr.wikipedia.org/wiki/Marcus_Manilius
urn:cts:latinLit:phi0474,Unknown,latinLit,phi,0474,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi1294,Unknown,latinLit,phi,1294,8099277,None,Q2098,https://en.wikipedia.org/wiki/Martial,https://es.wikipedia.org/wiki/Marcial,https://de.wikipedia.org/wiki/Martial,https://it.wikipedia.org/wiki/Marco_Valerio_Marziale,https://fr.wikipedia.org/wiki/Martial_(poète)
urn:cts:latinLit:phi0540.phi001,Unknown,latinLit,phi,0540,76206574,None,None,None,None,None,None,None
urn:cts:latinLit:phi0959,Unknown,latinLit,phi,0959,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi0448,Unknown,latinLit,phi,0448,286265178,None,Q1048,https://en.wikipedia.org/wiki/Julius_Caesar,https://es.wikipedia.org/wiki/Julio_César,https://de.wikipedia.org/wiki/Gaius_Iulius_Caesar,https://it.wikipedia.org/wiki/Gaio_Giulio_Cesare,https://fr.wikipedia.org/wiki/Jules_César
urn:cts:latinLit:phi1020,Unknown,latinLit,phi,1020,100904338,None,Q243203,https://en.wikipedia.org/wiki/Statius,https://es.wikipedia.org/wiki/Estacio,https://de.wikipedia.org/wiki/Publius_Papinius_Statius,https://it.wikipedia.org/wiki/Publio_Papinio_Stazio,https://fr.wikipedia.org/wiki/Stace
urn:cts:latinLit:phi0550,Unknown,latinLit,phi,0550,106388020,None,Q47154,https://en.wikipedia.org/wiki/Lucretius,https://es.wikipedia.org/wiki/Lucrecio,https://de.wikipedia.org/wiki/Lukrez,https://it.wikipedia.org/wiki/Tito_Lucrezio_Caro,https://fr.wikipedia.org/wiki/Lucrèce
urn:cts:latinLit:phi0502,Unknown,latinLit,phi,0502,121779545,None,Q772677,https://en.wikipedia.org/wiki/Aulus_Cremutius_Cordus,https://es.wikipedia.org/wiki/Aulo_Cremucio_Cordo,https://de.wikipedia.org/wiki/Aulus_Cremutius_Cordus,https://it.wikipedia.org/wiki/Cremuzio_Cordo,https://fr.wikipedia.org/wiki/Aulus_Cremutius_Cordus
urn:cts:latinLit:phi0684,Unknown,latinLit,phi,0684,100219311,None,Q206119,https://en.wikipedia.org/wiki/Marcus_Terentius_Varro,https://es.wikipedia.org/wiki/Marco_Terencio_Varrón,https://de.wikipedia.org/wiki/Marcus_Terentius_Varro,https://it.wikipedia.org/wiki/Marco_Terenzio_Varrone,https://fr.wikipedia.org/wiki/Varron_(écrivain)
urn:cts:latinLit:phi0588,Unknown,latinLit,phi,0588,100219060,None,Q109594,https://en.wikipedia.org/wiki/Cornelius_Nepos,https://es.wikipedia.org/wiki/Cornelio_Nepote,https://de.wikipedia.org/wiki/Cornelius_Nepos,https://it.wikipedia.org/wiki/Cornelio_Nepote,https://fr.wikipedia.org/wiki/Cornélius_Népos
urn:cts:latinLit:phi0830,Unknown,latinLit,phi,0830,100165075,None,Q559878,https://en.wikipedia.org/wiki/Titus_Calpurnius_Siculus,https://es.wikipedia.org/wiki/Calpurnio_Sículo,https://de.wikipedia.org/wiki/Calpurnius_Siculus,https://it.wikipedia.org/wiki/Tito_Calpurnio_Siculo,https://fr.wikipedia.org/wiki/Calpurnius_Siculus
urn:cts:latinLit:phi1100,Unknown,latinLit,phi,1100,1693120,None,None,None,None,None,None,None
urn:cts:latinLit:phi1345,Unknown,latinLit,phi,1345,27071645,None,Q316123,https://en.wikipedia.org/wiki/Silius_Italicus,https://es.wikipedia.org/wiki/Silio_Itálico,https://de.wikipedia.org/wiki/Silius_Italicus,https://it.wikipedia.org/wiki/Silio_Italico,https://fr.wikipedia.org/wiki/Silius_Italicus
urn:cts:latinLit:phi1318,Unknown,latinLit,phi,1318,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi0470,Unknown,latinLit,phi,0470,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi1276,Unknown,latinLit,phi,1276,83985148,None,Q193800,https://en.wikipedia.org/wiki/Juvenal,https://es.wikipedia.org/wiki/Juvenal,https://de.wikipedia.org/wiki/Juvenal,https://it.wikipedia.org/wiki/Decimo_Giunio_Giovenale,https://fr.wikipedia.org/wiki/Juvénal
urn:cts:latinLit:phi1212,Unknown,latinLit,phi,1212,32115433,None,Q170512,https://en.wikipedia.org/wiki/Apuleius,https://es.wikipedia.org/wiki/Apuleyo,https://de.wikipedia.org/wiki/Apuleius,https://it.wikipedia.org/wiki/Apuleio,https://fr.wikipedia.org/wiki/Apulée
urn:cts:latinLit:phi0914,Unknown,latinLit,phi,0914,209297963,None,None,None,None,None,None,None
urn:cts:latinLit:phi1017,Unknown,latinLit,phi,1017,None,None,None,None,None,None,None,None
