URL (For Author or Uniform title) or URI,LC # / VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,NOTE,URL
http://viaf.org/viaf/117589,none,"Adalbero Laudunensis, 
947-1030                           ",none,none(not in list),none,none,none,none,De Summa Fidei,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0006-stoa002,no,,Author added due to presence on STOA list,
http://viaf.org/viaf/117589,none,"Adalbero Laudunensis, 
947-1030                           ",none,none(not in list),none,none,none,none,Rythmus Satiricus,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0006-stoa003,no,,Author added due to presence on STOA list,
http://id.loc.gov/authorities/names/n89618622,n89-618622,"Adamnan, Saint, 625?-704",none,none,none,none,none,none,Vita Sanctae Columbae<,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0007-stoa001,no,,,
http://id.loc.gov/authorities/names/n89618622,n89-618622,"Adamnan, Saint, 625?-704",none,none,none,none,none,none,De Locis Santis,none,none,none,none,n.a.,Corp. Vind 39,yes,none,yes,none,stoa0007-stoa002,yes,,,
http://viaf.org/viaf/100190498,100190498,"Adso Dervensis, c. 910-992",none,none,none,none,none,none,De ortu et tempore Antichristi,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0009-stoa001,no,,,
none,none,Anonymous,none,none,none,Act. Triumph,none,none,Acta Triumphalia,Act. Triumph. 37 (CIL I. p. 50),none,none,"Corpus Inscriptionum Latinarum, Vol I",no-need to obtain,,,none,n.a.,none,stoa0004b-stoa001,no,,,
none,none,Anonymous,none,none(not in list),none,none,none,none,Liber Simplici,none,Simplic.,none,none,n.a.,,,"Goes, Rei agrariae auctores legesque variae, 1674",n.a.,none,stoa0027a-stoa001,no,,,
http://viaf.org/viaf/15123020,nr95-20709,"Aedituus, Valerius fl. ca. 100 B.C.",Valerius Aedituus,none,Valerius Aedituus,AED.,none,none,Epigrammata,AED. poet. 2. 6 ,none,none,Morel T 1927 (Fragmenta Poetarum Latinorum),no-not in public domain,"FPR, Baehrens (Teubner 1886)",yes,none,n.a.,402.1,stoa0010-stoa001,yes,,,
http://id.loc.gov/authorities/names/no2002076658,no2002-076658,Aegritudo Perdicae,none,none,none,none,none,none,Aegritudo Perdicae,none,none,none,none,n.a.,"PLM V, Baehrens",yes,none,n.a.,none,stoa0010a-stoa001,yes,,,
http://viaf.org/viaf/173499096,173499096,Aelius Maurus,none,none,none,none,none,none,Fragmenta  ,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0010b-stoa001,yes,,,
http://viaf.org/viaf/22527549,22527549,"Aelius Paetus Catus, Sextus",none,none,none,none,none,none,Fragmenta (Tripertita),none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0010c-stoa001,yes,,,
http://viaf.org/viaf/39386818,39386818,"Aelred, of Rievaulx, Saint, 1110-1167
(Aelredus Rievallensis)",none,none,none,none,none,none,De Amicitia,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0011-stoa001,no,,Added author due to presence on STOA List,
http://errol.oclc.org/laf/no2004-105320.html,no2004-105320,"Aemilius Asper, 2nd cent.",none,none(not in list),Aemilius Asper,none,Asper,none, Commentarii in Terentium Sallustium Vergilium ,none,none,none,none,n.a.,none,n.a.,none,n.a.,1363.1,none,yes,,,
http://errol.oclc.org/laf/no2004-105320.html,no2004-105320,"Aemilius Asper, 2nd cent.",none,none(not in list),Aemilius Asper,none,Asper,none,Vergilius,none,none,none,none,n.a.,none,n.a.,none,n.a.,1363.2,none,,,,
http://errol.oclc.org/laf/no2004-105320.html,no2004-105320,"Aemilius Asper, 2nd cent.",none,none(not in list),Aemilius Asper,none,Asper,none,Ars Grammatica,none,Asper,none,none,n.a.,Keil (Grammatici Latini),yes," Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)",yes-Google has scnned,1363.3,none,yes,,Crated a PHI identifier for this work,
http://id.loc.gov/authorities/names/nr95028790,nr95-28790,Aemilius Sura,none,none,Aemilius Sura,AemSura,none,none,De Annis Populi Romani,none,none,none,none,n.a.,none,n.a.,none,yes,2300.1,none,yes,,,
none,none,Aenigmata Merovingicae aetatis,none,none,none,none,none,none,Versus de Alphabeto,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0011a-stoa001,yes,,,
